year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2021,f,50,0.011292,0.054909,87550,4807,425732,1950541,22.28,todas_causas
2021,f,55,0.018684,0.089251,82743,7385,395252,1524809,18.43,todas_causas
2021,f,60,0.030036,0.139689,75358,10527,350473,1129557,14.99,todas_causas
2021,f,65,0.041844,0.189407,64831,12279,293458,779084,12.02,todas_causas
2021,f,70,0.068262,0.291553,52552,15322,224455,485627,9.24,todas_causas
2021,f,75,0.098598,0.395502,37230,14725,149339,261172,7.02,todas_causas
2021,f,80,0.156367,0.5621,22506,12650,80902,111832,4.97,todas_causas
2021,f,85,0.318624,1,9855,9855,30931,30931,3.14,todas_causas
2010,m,0,0.0261091912664054,0.0255195712184701,1e+05,2551.95712184701,97741.7146248651,6461654.70554524,64.6165470554524,sin_homicidios
2010,m,1,0.00106725400565701,0.00425800716697995,97448.042878153,414.934464983366,388786.983027447,6363912.99092037,65.3057034596136,sin_homicidios
2010,m,5,0.000440242605423203,0.00219879302119492,97033.1084131696,213.355721603715,484632.152761839,5975126.00789293,61.5782190801378,sin_homicidios
2010,m,10,0.000513843963797738,0.00256592360809473,96819.7526915659,248.432089161186,483477.683234927,5490493.85513109,56.7084061102892,sin_homicidios
2010,m,15,0.00116012086030569,0.00578382944853921,96571.3206024047,558.552047984515,481460.222892062,5007016.17189616,51.847858563627,sin_homicidios
2010,m,20,0.002644668184208,0.013136486799314,96012.7685544202,1261.27046668073,476910.666605399,4525555.9490041,47.1349385830803,sin_homicidios
2010,m,25,0.00240023717933094,0.0119296012157233,94751.4980877395,1130.3475867791,470931.62147175,4048645.2823987,42.729089925836,sin_homicidios
2010,m,30,0.00371677979868039,0.0184128081103481,93621.1505009604,1723.82827924422,463796.181806691,3577713.66092695,38.2148012685472,sin_homicidios
2010,m,35,0.00488695288229758,0.0241398387747912,91897.3222217162,2218.38654226725,453940.644752913,3113917.47912026,33.8847466263213,sin_homicidios
2010,m,40,0.00719712614270532,0.0353495920311728,89678.9356794489,3170.11379005831,440469.393922099,2659976.83436734,29.6611106522857,sin_homicidios
2010,m,45,0.00994136422655535,0.0485013960243408,86508.8218893906,4195.7986300565,422054.612871812,2219507.44044525,25.6564289279432,sin_homicidios
2010,m,50,0.0138052462258754,0.066723398757201,82313.0232593341,5492.2046738433,397834.604612062,1797452.82757343,21.8367975856069,sin_homicidios
2010,m,55,0.0185210639156599,0.088507200772061,76820.8185854908,6799.19561402012,367106.103892404,1399618.22296137,18.2192568203864,sin_homicidios
2010,m,60,0.0292398834316676,0.13624029154934,70021.6229714707,9539.76632839114,326258.699036376,1032512.11906897,14.7456182141001,sin_homicidios
2010,m,65,0.0444469643821087,0.200010205689676,60481.8566430796,12096.9885876758,272166.811746208,706253.420032593,11.677112099921,sin_homicidios
2010,m,70,0.0646070128964695,0.27811466940068,48384.8680554037,13456.5415832241,208282.986318958,434086.608286385,8.9715364685779,sin_homicidios
2010,m,75,0.112271175877435,0.438327125023707,34928.3264721796,15310.0329244399,136366.550049798,225803.621967426,6.46477071116701,sin_homicidios
2010,m,80,0.17861827644687,0.617395902333793,19618.2935477397,12112.254047156,67810.8326208085,89437.071917628,4.55886092742926,sin_homicidios
2010,m,85,0.347080201858656,1,7506.03950058371,7506.03950058371,21626.2392968195,21626.2392968195,2.88117845571393,sin_homicidios
2019,m,0,0.021577409807758,0.0211676714823569,1e+05,2116.7671482357,98101.077334807,6493972.3083661,64.939723083661,sin_homicidios
2019,m,1,0.00098432147452186,0.00392796883272425,97883.2328517643,384.482287888022,390606.420605407,6395871.23103129,65.3418470629928,sin_homicidios
2019,m,5,0.000319681923223466,0.00159713317960108,97498.7505638763,155.718489495222,487104.456595643,6005264.81042589,61.5932488949337,sin_homicidios
2019,m,10,0.000522415153148748,0.0026086687455382,97343.0320743811,253.93572536837,486080.321058484,5518160.35383024,56.6877796616582,sin_homicidios
2019,m,15,0.00115806146987852,0.00577359191354789,97089.0963490127,560.552821574325,484044.099691128,5032080.03277176,51.8295073494412,sin_homicidios
2019,m,20,0.00240221544105999,0.0119393748288736,96528.5435274384,1152.49046285932,479761.491480044,4548035.93308063,47.1159697109472,sin_homicidios
2019,m,25,0.00326749030376544,0.0162050766914247,95376.0530645791,1545.57625443689,473016.324686803,4068274.44160059,42.6550932952317,sin_homicidios
2019,m,30,0.0042949156742051,0.021246449102843,93830.4768101422,1993.56444984218,464168.472926105,3595258.11691379,38.3165282660609,sin_homicidios
2019,m,35,0.00578898599284705,0.0285320015706345,91836.9123603,2620.2909277063,452633.834482234,3131089.64398768,34.0940212765822,sin_homicidios
2019,m,40,0.00697064911278517,0.0342562743921779,89216.6214325937,3056.229064138,438442.534502623,2678455.80950545,30.0219372410231,sin_homicidios
