year,sex,age,deaths,deaths_homicidios,deaths_otras,prop_homicidios
2004,male,25,205.558271497163,0,205.558271497163,0
2004,male,30,245.863814927979,0,245.863814927979,0
2004,male,35,282.138804015714,0,282.138804015714,0
2004,male,40,358.719336534265,0,358.719336534265,0
2004,male,45,419.177651680489,0,419.177651680489,0
2004,male,50,451.422086425142,0,451.422086425142,0
2004,male,55,487.697075512876,0,487.697075512876,0
2004,male,60,602.567874290703,0,602.567874290703,0
2004,male,65,725.499781754692,0,725.499781754692,0
2004,male,70,820.21780881711,0,820.21780881711,0
2004,male,75,898.813618507202,0,898.813618507202,0
2004,male,80,1146.69271060672,0,1146.69271060672,0
2004,male,85,1588.03841117416,0,1588.03841117416,0
2005,female,0,344.292321625504,0,344.292321625504,0
2005,female,1,100.428273641043,0,100.428273641043,0
2005,female,5,46.1970058748797,0,46.1970058748797,0
2005,female,10,36.1541785107754,0,36.1541785107754,0
2005,female,15,50.2141368205214,0,50.2141368205214,0
2005,female,20,76.3254879671925,0,76.3254879671925,0
2005,female,25,76.3254879671925,0,76.3254879671925,0
2005,female,30,100.428273641043,0,100.428273641043,0
2005,female,35,104.445404586684,0,104.445404586684,0
2005,female,40,130.556755733356,0,130.556755733356,0
2005,female,45,269.147773357995,0,269.147773357995,0
2005,female,50,275.173469776457,0,275.173469776457,0
2005,female,55,470.00432064008,0,470.00432064008,0
2005,female,60,554.364070498556,0,554.364070498556,0
2005,female,65,690.946522650374,0,690.946522650374,0
2005,female,70,935.991510334518,0,935.991510334518,0
2005,female,75,985.218033011765,0,985.218033011765,0
2005,female,80,1243.30202767611,0,1243.30202767611,0
2005,female,85,1952.32563958187,0,1952.32563958187,0
2005,male,0,494.270362527085,0,494.270362527085,0
2005,male,1,129.333039374994,0,129.333039374994,0
2005,male,5,66.6873484277313,0,66.6873484277313,0
2005,male,10,68.7081771679655,0,68.7081771679655,0
2005,male,15,137.416354335931,0,137.416354335931,0
2005,male,20,143.478840556634,0,143.478840556634,0
2005,male,25,244.520277568348,0,244.520277568348,0
2005,male,30,242.499448828114,0,242.499448828114,0
2005,male,35,313.228454736313,0,313.228454736313,0
2005,male,40,347.582543320296,0,347.582543320296,0
2005,male,45,436.499007890605,0,436.499007890605,0
2005,male,50,515.311328759741,0,515.311328759741,0
2005,male,55,559.769561044896,0,559.769561044896,0
2005,male,60,630.498566953095,0,630.498566953095,0
2005,male,65,763.873263808558,0,763.873263808558,0
2005,male,70,907.352104365192,0,907.352104365192,0
2005,male,75,958.866466878176,0,958.866466878176,0
2005,male,80,1287.26790752924,0,1287.26790752924,0
2005,male,85,1648.99625203117,0,1648.99625203117,0
2006,female,0,401.207629067945,0,401.207629067945,0
2006,female,1,82.2475639589288,0,82.2475639589288,0
2006,female,5,46.1388773428137,0,46.1388773428137,0
2006,female,10,38.1147247614548,0,38.1147247614548,0
2006,female,15,52.1569917788329,0,52.1569917788329,0
2006,female,20,76.2294495229096,0,76.2294495229096,0
2006,female,25,54.1630299241726,0,54.1630299241726,0
2006,female,30,90.2717165402877,0,90.2717165402877,0
2006,female,35,98.2958691216466,0,98.2958691216466,0
2006,female,40,158.477013481838,0,158.477013481838,0
2006,female,45,258.778920748825,0,258.778920748825,0
2006,female,50,377.135171323869,0,377.135171323869,0
2006,female,55,467.406887864156,0,467.406887864156,0
2006,female,60,509.53368891629,0,509.53368891629,0
2006,female,65,756.192050527094,0,756.192050527094,0
2006,female,70,816.457525153269,0,816.457525153269,0
2006,female,75,950.86208089103,0,950.86208089103,0
2006,female,80,1161.4960861517,0,1161.4960861517,0
2006,female,85,2242.75064648981,0,2242.75064648981,0
2006,male,0,488.072076142173,0,488.072076142173,0
2006,male,1,116.494569614181,0,116.494569614181,0
2006,male,5,36.1534871216425,0,36.1534871216425,0
2006,male,10,60.2558118694041,0,60.2558118694041,0
2006,male,15,188.801543857466,0,188.801543857466,0
2006,male,20,194.827125044407,0,194.827125044407,0
2006,male,25,210.895341542914,0,210.895341542914,0
2006,male,30,271.151153412319,0,271.151153412319,0
2006,male,35,309.313167596274,0,309.313167596274,0
2006,male,40,383.628668901873,0,383.628668901873,0
2006,male,45,431.833318397396,0,431.833318397396,0
2006,male,50,572.430212759339,0,572.430212759339,0
2006,male,55,614.609281067922,0,614.609281067922,0
2006,male,60,662.813930563445,0,662.813930563445,0
2006,male,65,823.580530444136,0,823.580530444136,0
2006,male,70,952.041827536585,0,952.041827536585,0
2006,male,75,1002.25500409442,0,1002.25500409442,0
2006,male,80,1195.07360207652,0,1195.07360207652,0
2006,male,85,1849.85342439071,0,1849.85342439071,0
2007,female,0,374.103670453823,0,374.103670453823,0
2007,female,1,82.2615953624149,0,82.2615953624149,0
2007,female,5,44.140368243247,0,44.140368243247,0
2007,female,10,32.1020859950887,0,32.1020859950887,0
2007,female,15,68.2169327395636,0,68.2169327395636,0
2007,female,20,96.3062579852662,0,96.3062579852662,0
2007,female,25,74.2360738636427,0,74.2360738636427,0
2007,female,30,128.408343980355,0,128.408343980355,0
2007,female,35,132.421104729741,0,132.421104729741,0
2007,female,40,200.638037469305,0,200.638037469305,0
2007,female,45,224.714601965621,0,224.714601965621,0
2007,female,50,339.078283323125,0,339.078283323125,0
2007,female,55,493.569572174489,0,493.569572174489,0
2007,female,60,543.729081541816,0,543.729081541816,0
2007,female,65,772.456444256823,0,772.456444256823,0
2007,female,70,914.909450860029,0,914.909450860029,0
2007,female,75,957.043438728583,0,957.043438728583,0
2007,female,80,1169.71975844605,0,1169.71975844605,0
2007,female,85,2156.85890279503,0,2156.85890279503,0
2007,male,0,444.482824359289,0,444.482824359289,0
2007,male,1,112.353080170314,0,112.353080170314,0
2007,male,5,40.1261000608266,0,40.1261000608266,0
2007,male,10,72.2269801094878,0,72.2269801094878,0
2007,male,15,186.586365282844,0,186.586365282844,0
2007,male,20,218.687245331505,0,218.687245331505,0
2007,male,25,250.788125380166,0,250.788125380166,0
2007,male,30,310.977275471406,0,310.977275471406,0
2007,male,35,298.939445453158,0,298.939445453158,0
2007,male,40,421.324050638679,0,421.324050638679,0
2007,male,45,477.500590723836,0,477.500590723836,0
2007,male,50,541.702350821159,0,541.702350821159,0
2007,male,55,708.225666073589,0,708.225666073589,0
2007,male,60,644.023905976266,0,644.023905976266,0
2007,male,65,832.616576262151,0,832.616576262151,0
2007,male,70,975.064231478085,0,975.064231478085,0
2007,male,75,1157.63798675485,0,1157.63798675485,0
2007,male,80,1203.7830018248,0,1203.7830018248,0
2007,male,85,1922.04019291359,0,1922.04019291359,0
2008,female,0,415.621686843826,0,415.621686843826,0
2008,female,1,88.1522342550681,0,88.1522342550681,0
2008,female,5,44.0761171275341,0,44.0761171275341,0
2008,female,10,64.1107158218677,0,64.1107158218677,0
2008,female,15,70.1210954301678,0,70.1210954301678,0
2008,female,20,98.1695336022349,0,98.1695336022349,0
2008,female,25,96.1660737328016,0,96.1660737328016,0
2008,female,30,106.183373079968,0,106.183373079968,0
2008,female,35,152.262950076936,0,152.262950076936,0
2008,female,40,208.35982642107,0,208.35982642107,0
2008,female,45,270.467082373504,0,270.467082373504,0
2008,female,50,370.640075845173,0,370.640075845173,0
2008,female,55,510.882266705508,0,510.882266705508,0
2008,female,60,711.228253648845,0,711.228253648845,0
2008,female,65,793.370108295613,0,793.370108295613,0
2008,female,70,951.643437980849,0,951.643437980849,0
2008,female,75,1063.83719066912,0,1063.83719066912,0
2008,female,80,1101.90292818835,0,1101.90292818835,0
2008,female,85,2147.70898003257,0,2147.70898003257,0
2008,male,0,504.827569217796,0,504.827569217796,0
2008,male,1,76.261568233962,0,76.261568233962,0
2008,male,5,50.1720843644487,0,50.1720843644487,0
2008,male,10,58.1996178627604,0,58.1996178627604,0
2008,male,15,134.461186096722,0,134.461186096722,0
2008,male,20,188.647037210327,0,188.647037210327,0
2008,male,25,272.936138942601,0,272.936138942601,0
2008,male,30,274.943022317179,0,274.943022317179,0
2008,male,35,335.149523554517,0,335.149523554517,0
2008,male,40,365.252774173186,0,365.252774173186,0
2008,male,45,527.810327514,0,527.810327514,0
2008,male,50,543.865394510623,0,543.865394510623,0
2008,male,55,624.140729493741,0,624.140729493741,0
2008,male,60,798.739583082023,0,798.739583082023,0
2008,male,65,870.987384566829,0,870.987384566829,0
2008,male,70,1011.46922078728,0,1011.46922078728,0
2008,male,75,1178.04054087725,0,1178.04054087725,0
2008,male,80,1194.09560787388,0,1194.09560787388,0
2008,male,85,2069.09675918986,0,2069.09675918986,0
2009,female,0,358.778938207137,0,358.778938207137,0
2009,female,1,80.1740644038294,0,80.1740644038294,0
2009,female,5,48.1044386422977,0,48.1044386422977,0
2009,female,10,38.082680591819,0,38.082680591819,0
2009,female,15,74.1610095735422,0,74.1610095735422,0
2009,female,20,74.1610095735422,0,74.1610095735422,0
2009,female,25,110.239338555265,0,110.239338555265,0
2009,female,30,116.252393385553,0,116.252393385553,0
