"year","sex","age","deaths"
2007,"male",20,218.687245331505
2007,"male",25,250.788125380166
2007,"male",30,310.977275471406
2007,"male",35,298.939445453158
2007,"male",40,421.324050638679
2007,"male",45,477.500590723836
2007,"male",50,541.702350821159
2007,"male",55,708.225666073589
2007,"male",60,644.023905976266
2007,"male",65,832.616576262151
2007,"male",70,975.064231478085
2007,"male",75,1157.63798675485
2007,"male",80,1203.7830018248
2007,"male",85,1922.04019291359
2008,"male",0,504.827569217796
2008,"male",1,76.261568233962
2008,"male",5,50.1720843644487
2008,"male",10,58.1996178627604
2008,"male",15,134.461186096722
2008,"male",20,188.647037210327
2008,"male",25,272.936138942601
2008,"male",30,274.943022317179
2008,"male",35,335.149523554517
2008,"male",40,365.252774173186
2008,"male",45,527.810327514
2008,"male",50,543.865394510623
2008,"male",55,624.140729493741
2008,"male",60,798.739583082023
2008,"male",65,870.987384566829
2008,"male",70,1011.46922078728
2008,"male",75,1178.04054087725
2008,"male",80,1194.09560787388
2008,"male",85,2069.09675918986
2009,"male",0,467.693372555806
2009,"male",1,72.261636961412
2009,"male",5,62.2252984945492
2009,"male",10,46.1671569475688
2009,"male",15,164.59595085655
2009,"male",20,274.99567399204
2009,"male",25,252.915729364942
2009,"male",30,311.126492472746
2009,"male",35,335.213704793217
2009,"male",40,433.569821768472
2009,"male",45,517.875064890119
2009,"male",50,543.969544903963
2009,"male",55,670.427409586434
2009,"male",60,770.790794255061
2009,"male",65,859.110572763454
2009,"male",70,977.539366672435
2009,"male",75,1302.71673299879
2009,"male",80,1354.90569302648
2009,"male",85,2181.89998269597
2010,"male",0,437.624573455184
2010,"male",1,76.1006868769023
2010,"male",5,42.0556427477618
2010,"male",10,48.0635917117277
2010,"male",15,120.158979279319
2010,"male",20,248.32855717726
2010,"male",25,196.259666156222
2010,"male",30,280.370951651745
2010,"male",35,350.463689564681
2010,"male",40,416.551128168307
2010,"male",45,490.649165390554
2010,"male",50,586.776348814009
2010,"male",55,662.877035690912
2010,"male",60,877.160548739031
2010,"male",65,957.266534925244
2010,"male",70,1129.4944052256
2010,"male",75,1365.80706447493
2010,"male",80,1347.78321758303
2010,"male",85,2459.25377591674
2011,"male",0,452.673911936976
2011,"male",1,90.2603066012393
2011,"male",5,46.133045596189
2011,"male",10,48.1388301873276
2011,"male",15,132.381783015151
2011,"male",20,200.578459113865
2011,"male",25,230.665227980945
2011,"male",30,286.827196532827
2011,"male",35,397.145349045453
2011,"male",40,415.197410365701
2011,"male",45,487.405655646692
2011,"male",50,619.787438661843
2011,"male",55,716.065099036498
2011,"male",60,862.48737418962
2011,"male",65,940.712973244027
2011,"male",70,1081.11789462373
2011,"male",75,1219.5170314123
2011,"male",80,1347.88724524517
2011,"male",85,2214.38618861707
2012,"male",0,495.060611065235
2012,"male",1,72.1545829892651
2012,"male",5,46.0987613542527
2012,"male",10,42.0901734104046
2012,"male",15,142.304872006606
2012,"male",20,204.437985136251
2012,"male",25,230.493806771263
2012,"male",30,320.687035507845
2012,"male",35,398.854500412882
2012,"male",40,440.944673823287
2012,"male",45,577.236663914121
2012,"male",50,657.408422791082
2012,"male",55,723.550123864575
2012,"male",60,976.091164327003
2012,"male",65,958.052518579686
2012,"male",70,1142.4475639967
2012,"male",75,1190.55061932287
2012,"male",80,1314.81684558216
2012,"male",85,2202.71907514451
2013,"male",0,422.791621072378
